6091045,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,RECOMMENDED WITH RESERVATIONS,BRS,,,,,,,4,3,4,3,3,4,3,1,2,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,0.489656,0.545455,0.521622,0.518073,0.53681,0.529645,0.675863,0.675926,0.70861,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091046,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,148,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,STRONGLY RECOMMENDED,BRS,,,,,,,4,4,4,4,4,,,,,,,,,,,.,.,.,.,.,,,,,,,,,,,0.402899,0.479109,0.458798,0.604585,0.5,,,,,,,,,,,.,.,.,.,.,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,
6091047,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,64,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,RECOMMENDED,BRS,,,,,,,4,4,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,0.488216,0.431953,,,,,,,,,,,,,,.,.,,,,,,,,,,,,,,BRS Sales,BRS Sales,,,,,,,,,,,,,,Sales Inbound,Sales Inbound,,,,,,,
6091050,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,142,1,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,RECOMMENDED,BRS,,,,,,,4,4,4,4,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,0.464913,0.479382,0.52513,0.566832,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,
6091052,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,STRONGLY RECOMMENDED,BRS,,,,,,,3,4,2,2,2,3,2,1,2,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,0.478874,0.484616,0.590779,0.612378,0.616725,0.575439,0.596775,0.629871,0.615385,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6091100,12-Jun-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,RECOMMENDED,BRS,,,,,,,2,1,1,1,2,1,1,3,1,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,0.594891,0.582835,0.585922,0.644231,0.649374,0.612049,0.616725,0.633826,0.652778,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
8003825,01-Jul-17,,"EGLINTON, ON",ONSHORE,0,0,PASS,-151,-123,-92,-62,-31,-1,30,61,91,122,152,183,214,242,273,-61,RECOMMENDED WITH RESERVATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vendor Management,Vendor Management,,,,,,,,,,,,,,Strategy & BI,Strategy & BI,,,,,,,
8003826,01-Jul-17,,CAMPUS - NUNS ISLAND,ONSHORE,0,0,PASS,-151,-123,-92,-62,-31,-1,30,61,91,122,152,183,214,242,273,-61,RECOMMENDED WITH RESERVATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance Operations,Finance Operations,,,,,,,,,,,,,,Finance Operations,Finance Operations,,,,,,,
EY22022,15-May-17,,SP DATA - HAMILTON,ONSHORE,50,1,PASS,-104,-76,-45,-15,16,46,77,108,138,169,199,230,261,289,320,-14,RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRS Loyalty Outbound,BRS Loyalty Outbound,,,,,,,,,,,,,,Loyalty Outbound,Loyalty Outbound,,,,,,,,
EY24018,12-Jun-17,,NORDIA - MONCTON,ONSHORE,23,1,FAIL,-132,-104,-73,-43,-12,18,49,80,110,141,171,202,233,261,292,-42,NOT RECOMMENDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blend PPD,,,,,,,,,,,,,,,Sales,,,,,,,,
